test_id, num_years, time_sec
1.1, 3, 24.5
1.2.1, 3, 157.3
1.2.2, 3, 113.6
1.3.1, 3, 316.9
1.3.2, 3, 13.7
1.4.1, 3, 387.4
1.4.2, 3, 19.5
2.1, 3, 22.5
2.2, 3, 145.4
2.3, 3, 18.2
2.4, 3, 16.1
3.1, 3, 14.3
3.2, 3, 132.1
3.3, 3, 6.5
3.4, 3, 3.3
1.1, 3, 22.7
1.2.1, 3, 147.2
1.2.2, 3, 87.7
1.3.1, 3, 378.5
1.3.2, 3, 18.6
1.4.1, 3, 466.1
1.4.2, 3, 12.2
2.1, 3, 22.0
2.2, 3, 161.2
2.3, 3, 16.6
2.4, 3, 15.4
3.1, 3, 12.8
3.2, 3, 161.4
3.3, 3, 12.3
3.4, 3, 6.4
1.1, 3, 22.7
1.2.1, 3, 157.5
1.2.2, 3, 113.0
1.3.1, 3, 412.7
1.3.2, 3, 27.7
1.4.1, 3, 473.4
1.4.2, 3, 26.1
2.1, 3, 24.9
2.2, 3, 126.7
2.3, 3, 16.1
2.4, 3, 16.4
3.1, 3, 17.5
3.2, 3, 140.5
3.3, 3, 14.9
3.4, 3, 3.6
2.5, 3, 35.0
2.5, 3, 35.4
2.5, 3, 34.1
1.2.1.2, 3, 279.6
1.2.2.2, 3, 227.0
1.2.1.2, 3, 286.4
1.2.2.2, 3, 212.2
1.2.1.2, 3, 284.1
1.2.2.2, 3, 239.4
1.2.1.2, 3, 289.0
1.2.2.2, 3, 231.2
2.2.2, 3, 76.0
3.2.2, 3, 86.7
1.2.1.2, 3, 287.6
1.2.2.2, 3, 243.4
2.2.2, 3, 132.4
3.2.2, 3, 148.3
1.2.1.2, 3, 286.7
1.2.2.2, 3, 230.4
2.2.2, 3, 136.0
3.2.2, 3, 141.7
